title,time_addition,views
"«Слово пацана»: бандитские районы Казани — как и почему они появились | Хади Такташ, Тяп-Ляп","1,5 млн просмотров",6 месяцев назад
"Авария в Подольске: лопнувшие трубы, аномальные морозы и халатность чиновников | Репортаж","1,5 млн просмотров",6 месяцев назад
"Необычная Аляска: город индейцев и самолеты вместо автобусов | Рыбалка, ездовые хаски и Илон Маск","2,3 млн просмотров",7 месяцев назад
"Чё Происходит #202 | Эвакуация в Белгороде, Медведев против французов, Кадыров злит Z-патриотов","1,6 млн просмотров",7 месяцев назад
"Белгород: жизнь под бомбами | Атаки ВСУ, слова Зеленского, обвинения Путина, мнение очевидцев","1,2 млн просмотров",7 месяцев назад
"Америка дорогая, Япония странная, Бутан счастливый | Всё самое интересное о странах мира",485 тыс. просмотров,7 месяцев назад
"Настя Ивлеева и «не та дверь»: как z-пропаганда уничтожает звезд | Собчак, Киркоров, Лолита","4,3 млн просмотров",7 месяцев назад
"Интервью с Екатериной Шульман: про Дунцову, Путина, Украину и Пригожина | Кац, мобилизация, Одесса","2,6 млн просмотров",7 месяцев назад
"Переговоры: Россия и Украина обсудят мир в 2024-м? | Арестович, Зеленский, Путин, Арахамия и Крым","1,5 млн просмотров",7 месяцев назад
"Саудовская Аравия: всё дорого и всё запрещено | Нефть, ислам, футбол и ответ Дубаю","2,3 млн просмотров",7 месяцев назад
"Кремлевский централ: как сидят в самой элитной тюрьме России | Навальный, Ходорковский, Полонский","2,8 млн просмотров",7 месяцев назад
"Копенгаген: самый счастливый город? Депрессии, мигранты и анархисты","1,3 млн просмотров",7 месяцев назад
"Как выросли цены в России: от яиц по 200 до инфляции и курса доллара | Экономика, политика, санкции",1 млн просмотров,7 месяцев назад
"Индия против Китая: почему одни страны нищие, а другие нет? | Экономика, политика, коммунизм",869 тыс. просмотров,8 месяцев назад
"Китай: коммунизм повсюду, брачный рынок и поддельная Великая стена","8,7 млн просмотров",8 месяцев назад
"Путин требует рожать: новости из утробы России | РПЦ, политика и традиционные ценности",730 тыс. просмотров,8 месяцев назад
"Как СССР кормил африканских людоедов | ЧВК ""Вагнер"", Пригожин, Путин",618 тыс. просмотров,8 месяцев назад
"Путешествие на край света: как живут на Фарерских островах | Традиции, рыбалка, футбол","1,3 млн просмотров",8 месяцев назад
"Санкции провалились: холодильники, теневой флот и другие хитрости России | Китай, США и Путин","1,1 млн просмотров",8 месяцев назад
"Кипр: заброшки, заборы, «золотые паспорта» | Беженцы из Африки, военный переворот и миротворцы ООН","1,7 млн просмотров",8 месяцев назад
"Байконур: самая страшная авария в истории космонавтики | Космос, ракета, СССР",1 млн просмотров,8 месяцев назад
Аляска: православные индейцы и наследие России | Русские школы и староверы в США,"3,5 млн просмотров",8 месяцев назад
"Украинский фронт: Залужный в тупике, Зеленский в гневе, Россия в Авдеевке | Крым, Арестович, США","3,5 млн просмотров",9 месяцев назад
"Узбекистан: здесь боятся исламистов? | СССР, Афганистан и Коран","1,8 млн просмотров",9 месяцев назад
Аяз Шабутдинов: от бизнес-гуру до мошенника | Инфоцыгане и успешный успех,2 млн просмотров,9 месяцев назад
"Евреи: как их ненавидят в России на фоне мирового антисемитизма | Израиль, Палестина, СССР","1,2 млн просмотров",9 месяцев назад
"Захват аэропорта в Дагестане: как и почему жители Махачкалы устроили погромы | Израиль, Палестина",2 млн просмотров,9 месяцев назад
"Как работают суды в России: правосудие от силовиков | Штрафы за «нет вобле», сроки за посты",808 тыс. просмотров,9 месяцев назад
"Мифы о Китае: социальный рейтинг, блогеры-пропагандисты и корпорация зла | Слежка, камеры и цензура","3,8 млн просмотров",9 месяцев назад
Пропаганда в школах: чему учат в новом учебнике истории России? | Мединский про Украину и СССР,893 тыс. просмотров,9 месяцев назад
"Сектор Газа: что это такое, как там живут люди и что с ним будет дальше | Израиль, Палестина, ХАМАС","1,9 млн просмотров",9 месяцев назад
"Израиль: будет ли большая война на Ближнем Востоке? | Сектор Газа, Иран, США, ХАМАС и «Хезболла»","4,1 млн просмотров",9 месяцев назад
"ХАМАС: с кем воюет Израиль? | Сектор Газа, связи с Россией, влияние Египта и деньги из Катара","3,2 млн просмотров",9 месяцев назад
"Конфликт в Израиле: атака ХАМАСа, рассказы очевидцев и мобилизация | Удары по Сектору Газа","3,3 млн просмотров",9 месяцев назад
"Атака на Израиль: что известно о военных действиях в секторе Газа | Железный купол, Нетаньяху","3,6 млн просмотров",10 месяцев назад
Штурм Белого дома: зачем Ельцин стрелял по депутатам из танка | История России с Варламовым,1 млн просмотров,10 месяцев назад
«Барби» из Казахстана и китайский «Москвич»: полтора года под санкциями | Пиратство и подделки,"2,4 млн просмотров",10 месяцев назад
"Москва-Сити: от роскоши и успешного успеха до дронов в окнах | Миллионеры, деньги и TikTok","4,1 млн просмотров",10 месяцев назад
"Что будет с Арменией: потеря Карабаха, дружба с США и отказ от России? | Пашинян, оппозиция, митинги","2,6 млн просмотров",10 месяцев назад
"История России с Варламовым: Беловежские соглашения и развал СССР | Горбачев, Ельцин, Украина",1 млн просмотров,10 месяцев назад
"Кенсингтон: зомби-апокалипсис посреди США | Гетто в Филадельфии, куда страшно заходить","1,8 млн просмотров",10 месяцев назад
"Санкции и лицемерие: как европейские политики помогают Путину | Украина, Россия, экономика",997 тыс. просмотров,10 месяцев назад
Роскосмос опять не смог: что провал с запуском лунной станции значит для России,879 тыс. просмотров,10 месяцев назад
"Самые опасные города мира: что страшнее, Тыва или США? | Россия, Афганистан, ЮАР и Бразилия","2,8 млн просмотров",10 месяцев назад
"Чернобыль, который скрыли: из-за чего возник Кыштымский карлик? | История из СССР","1,7 млн просмотров",11 месяцев назад
"Лондон: дорого, богато, с русским акцентом | Чичваркин, Абрамович, Березовский и «Челси»","2,9 млн просмотров",11 месяцев назад
1 сентября: кредит на сборы в школу и ГОСТ на форму | Учеба и долги,937 тыс. просмотров,11 месяцев назад
"Венгрия: главный друг Путина в Европе? | Украина, пропаганда, коррупция и архитектура","1,9 млн просмотров",11 месяцев назад
"Пригожин и его враги: кто мог ликвидировать главу «Вагнера» | Путин, Шойгу, Украина","3,1 млн просмотров",11 месяцев назад
"Пригожин погиб: что известно о крушении самолета главы ЧВК «Вагнер» | Путин, Лукашенко и мятеж","5,3 млн просмотров",11 месяцев назад
"Нью-Йорк: в 2 раза дороже, чем в Москве | Цены на недвижимость, продукты и транспорт","3,8 млн просмотров",11 месяцев назад
"Доллар по 100: что творится с рублем и экономикой России | Путин, Пригожин, нефть и прогнозы","1,3 млн просмотров",11 месяцев назад
"Испания: как эмигрировать и счастливо жить на пенсию | Валенсия, золотая виза, переезд","3,3 млн просмотров",11 месяцев назад
"Грузия-2008: зачем Россия вводила войска и кто был виноват? | Путин, Саакашвили, НАТО, Южная Осетия",2 млн просмотров,11 месяцев назад
"Тихий океан: от Австралии до Самоа | Страшные птицы, уличные танцы и рыбный рынок","2,7 млн просмотров",1 год назад
"Медицина: в США дорого, в Европе долго, а в России мучительно?","1,2 млн просмотров",1 год назад
"Баку: город хлеба, нефти и Формулы-1 | Рецепты азербайджанской кухни и старая архитектура","2,2 млн просмотров",1 год назад
"«Вагнер» в Беларуси: поход на Польшу, угроза Киеву или контроль за Лукашенко? | Пригожин в Могилеве","1,6 млн просмотров",1 год назад
"Плохая Япония: якудза, депрессии и бездомные | Маргиналы, хроническая усталость, дома из мусора","3,4 млн просмотров",1 год назад
"Атака беспилотников на Москву: причем тут Одесса и Крымский мост | Дроны, ВСУ и зерновая сделка","1,1 млн просмотров",1 год назад
"Самый спокойный город Турции | Землетрясение, беженцы и русский район","1,5 млн просмотров",1 год назад
"Стрелков-Гиркин арестован: конфликт с Пригожиным, критика Путина и Донбасс | Крым, Украина, Донецк","1,2 млн просмотров",1 год назад
Катастрофа 1989 года: взрыв двух поездов под Уфой | Страшная история,"1,8 млн просмотров",1 год назад
"Мьянма: без прав, без денег, без свободы | нищета, власть военных и пустынная столица","3,2 млн просмотров",1 год назад
"Кто уничтожил русское наследие? | Архитектура в Москве, Подмосковье и Санкт-Петербурге",606 тыс. просмотров,1 год назад
"Дуров больше не из России, «Яндекс» делят, удобрения кормят олигархов: русский бизнес в 2023 году","1,4 млн просмотров",1 год назад
"Паттайя: город порока и удовольствий | Тайские женщины, индустрия услуг, недвижимость",6 млн просмотров,1 год назад
"Империя лжи: тролли, псевдо-СМИ и «Киберфронт» на службе Пригожина | Шнуров, фейки, пиар",1 млн просмотров,1 год назад
"Беспредел в Чечне: как в республике нападают на журналистов | Зарема Мусаева, Кадыров, Милашина","1,2 млн просмотров",1 год назад
"Катар: очень богатая страна | Роскошь, рабство и коррупция","5,5 млн просмотров",1 год назад
"Армия Пригожина: как зэков вербовали на фронт | «Вагнер», Украина, мятеж","2,2 млн просмотров",1 год назад
"Пригожин: от тюрьмы до попытки переворота | ЧВК «Вагнер», бизнес в 90-е и «узник Лукашенко»","5,2 млн просмотров",1 год назад
Зачем «Вагнер» пошел на Москву? Разбираем все версии | Заговор против Путина и проверка Шойгу,"4,4 млн просмотров",1 год назад
"Ростов в день захвата: фото с «Вагнером», застрявший танк и отъезд Пригожина | Репортаж","4,5 млн просмотров",1 год назад
Мятеж окончен: Пригожин не дошёл до Москвы | Лукашенко помог Путину,11 млн просмотров,1 год назад
Военный переворот в России: Пригожин взял Ростов и обещает марш на Москву,11 млн просмотров,1 год назад
"Контрнаступление ВСУ: чего уже добилась Украина и что будет дальше? | Бахмут, Крым, Чонгарский мост","2,4 млн просмотров",1 год назад
"Сингапур: роскошь без коррупции, жизнь без свободы | Деревья-роботы, русские мигранты и уличная еда","5,1 млн просмотров",1 год назад
"Шульман про шансы Пригожина стать президентом, Украину и жизнь в Берлине | Путин, политика, история","2,7 млн просмотров",1 год назад
"Бангкок: город, в котором позволено всё | Тайская кухня, животные и портреты Путина","4,3 млн просмотров",1 год назад
"Вся Россия — теперь Шебекино: дроны в Воронеже и Москве, ДРГ — в Белгороде","1,7 млн просмотров",1 год назад
"Спасение утопающих: репортаж из зоны бедствия вокруг Каховской ГЭС | Украина, Днепр, Херсон","1,6 млн просмотров",1 год назад
"Калифорния: от стартапов до пляжей | Силиконовая долина, Лос-Анджелес и Сан-Франциско","1,6 млн просмотров",1 год назад
"Каховская ГЭС: что произошло и какие будут последствия | Украина, Крым, контрнаступление","2,6 млн просмотров",1 год назад
"Шебекино под огнем: что с границами в России? | Пригожин, дроны и мобилизация","2,7 млн просмотров",1 год назад
"Долг по-американски: как США задолжали сами себе | Дефолт, инфляция и курс доллара","1,5 млн просмотров",1 год назад
"Тобольск: свалки под охраной государства | Тюрьма в Кремле, кривые фонари и урбанистика на пустыре",1 млн просмотров,1 год назад
"Госизмена: сроки за SMS, выступления и научную работу | Кара-Мурза, Сафронов, Украина",1 млн просмотров,1 год назад
"Америка против России: что думают американцы о конфликте? | Украина, Путин, Холодная война","1,8 млн просмотров",1 год назад
"Чита: новый репортаж из мусорной столицы России | Как жить в бараках, на свалке и без туалета","2,2 млн просмотров",1 год назад
"Кибергулаг: от электронных повесток до слежки в Сети | ВПН, Госуслуги и видеонаблюдение",848 тыс. просмотров,1 год назад
"Кишлаки Узбекистана: дома из глины, топливо из коровьих лепешек, гостеприимство от души","3,9 млн просмотров",1 год назад
"Из Америки в Россию: истории из жизни мигрантов | Ферма под Москвой, школа, стендап и Богдан Титомир",663 тыс. просмотров,1 год назад
"День Победы: от «никогда больше» до «можем повторить» | История 9 мая, пропаганда и Бессмертный полк","1,5 млн просмотров",1 год назад
"Контрнаступление Украины: помогут ли Киеву танки НАТО | Бахмут, Крым, Кремль","1,2 млн просмотров",1 год назад
"Бали: между роскошью и депортацией | Недвижимость, дайвинг, туристы, законы, налоги","2,5 млн просмотров",1 год назад
"В России — изгои, в Германии — полноправные граждане: жизнь людей с инвалидностью",664 тыс. просмотров,1 год назад
Свобода в США: одобрение Путина и диктатура Цукерберга | Америка от Нью-Йорка до Калифорнии ENG SUB,"1,9 млн просмотров",1 год назад
Блиновская: как устроена империя обмана | Разбор марафонов желаний,"2,3 млн просмотров",1 год назад
"Отстаньте от детей! Почему не нужно запрещать аниме и видеоигры | Ютуб, ТикТок и Гарри Поттер",492 тыс. просмотров,1 год назад
День из жизни сельского врача: как работать в таких условиях? | Медицина в российских деревнях,711 тыс. просмотров,1 год назад
"Нейросети: прекрасное будущее или апокалипсис? | ChatGPT, Midjorney и дипфейки",902 тыс. просмотров,1 год назад
"Бедная Америка: жизнь в трейлерах, бездомные и бесплатная еда | США от Нью-Йорка до Лос-Анджелеса","4,2 млн просмотров",1 год назад
"Госуслуги и мобилизация: быть вне повестки больше нельзя | Армия, военкомат, призыв","1,4 млн просмотров",1 год назад
"Бангладеш: тут плохо вообще всё | Помощь Индии, трущобы на железной дороге и горы мусора","6,9 млн просмотров",1 год назад
"«Пониматели Путина» в Германии: почему они поддерживают Кремль? | Русские немцы, канцлеры и правые",1 млн просмотров,1 год назад
"Ташкент: СССР с узбекским колоритом | Плов, метро, модернизм и аптечная эпидемия",3 млн просмотров,1 год назад
"Репарации: что это такое, как их считают и заставят ли Россию платить? | Украина, Германия, ООН",1 млн просмотров,1 год назад
"Страна с Министерством счастья: как живёт Бутан | Буддизм, экология и бедность в Гималаях","2,5 млн просмотров",1 год назад
